Date & time of file creation	7/12/2019 09:28																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_acc_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_acc.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.5800	0.00	100.00	17.19	17.79																																							
Chamber 2	1	52.0787	29.1650	0.00	100.00	17.19	17.79																																							
Chamber 3	1	55.4062	28.5825	0.00	100.00	17.18	17.79																																							
Chamber 4	1	53.3363	29.2625	0.00	100.00	17.19	17.79																																							
																																														
Chamber 6	1	44.3075	28.7512	0.00	100.00	16.88	17.75																																							
Chamber 7	1	45.0000	28.5712	0.00	100.00	17.46	17.75																																							
Chamber 8	1	48.5650	28.6525	0.00	100.00	16.89	17.75																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.2996	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.3131	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.279500	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.2267	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.1981	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.3394	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.2313	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/12/2019/09:28:49	Flush	1006.1	0.0	28.7300	18.04	97.71	29.1650	18.04	99.25	28.7200	18.04	98.15	29.4800	18.04	97.29	NaN	17.93	NaN	28.8625	17.93	97.86	28.9125	17.93	95.51	28.7037	17.93	98.84	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9213	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:50	Flush	1006.1	0.0	28.7375	18.04	97.65	29.1600	18.04	99.31	28.7200	18.04	98.15	29.4500	18.04	97.58	NaN	17.92	NaN	28.8600	17.92	97.93	28.9275	17.92	95.39	28.7263	17.92	98.64	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9288	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:51	Flush	1006.1	0.0	28.7325	18.04	97.70	29.1600	18.04	99.31	28.7350	18.04	98.01	29.4475	18.04	97.60	NaN	17.93	NaN	28.8513	17.93	97.99	28.9213	17.93	95.42	28.7300	17.93	98.58	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:52	Flush	1006.1	0.0	28.7375	18.04	97.65	29.1750	18.04	99.16	28.7325	18.04	98.04	29.4725	18.04	97.37	NaN	17.93	NaN	28.8063	17.93	98.48	28.9200	17.93	95.43	28.7037	17.93	98.84	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:53	F1   	1006.1	0.0	28.7475	18.04	97.55	29.1800	18.04	99.12	28.7225	18.04	98.13	29.4725	18.04	97.37	NaN	17.93	NaN	28.8525	17.93	97.97	28.8938	17.93	95.70	28.7175	17.93	98.70	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9213	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:54	F1   	1006.1	0.0	28.7275	18.04	97.74	29.1725	18.04	99.19	28.7125	18.04	98.22	29.4625	18.04	97.46	NaN	17.92	NaN	28.8425	17.92	98.12	28.9075	17.92	95.60	28.6850	17.92	99.05	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:55	F1   	1006.1	0.0	28.7425	18.04	97.60	29.1775	18.04	99.14	28.7325	18.04	98.04	29.4600	18.04	97.48	NaN	17.92	NaN	28.8312	17.92	98.25	28.9012	17.92	95.67	28.7237	17.92	98.67	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:56	F1   	1006.1	0.0	28.7425	18.04	97.60	29.1800	18.04	99.12	28.7325	18.04	98.04	29.4450	18.04	97.62	NaN	17.92	NaN	28.8300	17.92	98.26	28.9175	17.92	95.50	28.7212	17.92	98.70	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:57	F1   	1006.1	0.0	28.7550	18.04	97.48	29.1800	18.04	99.12	28.7300	18.04	98.06	29.4625	18.04	97.46	NaN	17.92	NaN	28.8650	17.92	97.88	28.9025	17.92	95.66	28.7288	17.92	98.62	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:58	F1   	1006.1	0.0	28.7525	18.04	97.50	29.1950	18.04	98.98	28.7075	18.04	98.27	29.4625	18.04	97.46	NaN	17.92	NaN	28.8437	17.92	98.11	28.9088	17.92	95.59	28.7475	17.92	98.44	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:28:59	F1   	1006.1	0.0	28.7500	18.04	97.53	29.1850	18.04	99.07	28.7375	18.04	97.99	29.4600	18.04	97.48	NaN	17.92	NaN	28.8925	17.92	97.58	28.9012	17.92	95.67	28.7412	17.92	98.50	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9200	17.92	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:29:00	F1   	1006.1	0.0	28.7575	18.04	97.45	29.1800	18.04	99.12	28.7425	18.04	97.95	29.4750	18.04	97.35	NaN	17.92	NaN	28.8738	17.92	97.78	28.9088	17.92	95.59	28.7138	17.92	98.77	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9288	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:29:01	F1   	1006.1	0.0	28.7450	18.04	97.57	29.1875	18.04	99.05	28.7175	18.04	98.17	29.4800	18.04	97.30	NaN	17.93	NaN	28.8788	17.93	97.68	28.9188	17.93	95.45	28.7012	17.93	98.87	NaN	NaN	NaN	NaN	18.0475	18.05	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:29:02	F1   	1006.1	0.0	28.7475	18.05	97.53	29.1675	18.05	99.21	28.7325	18.05	98.02	29.4800	18.05	97.28	NaN	17.93	NaN	28.8275	17.93	98.24	28.9200	17.93	95.43	28.7263	17.93	98.61	NaN	NaN	NaN	NaN	18.0500	18.05	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:29:03	F1   	1006.1	0.0	28.7350	18.05	97.64	29.1900	18.05	98.99	28.7175	18.05	98.15	29.4800	18.05	97.27	NaN	17.93	NaN	28.8463	17.93	98.03	28.9112	17.93	95.52	28.7300	17.93	98.57	NaN	NaN	NaN	NaN	18.0425	18.04	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/09:29:04	F1   	1006.1	0.0	28.7375	18.04	97.64	29.2000	18.04	98.92	28.7250	18.04	98.10	29.4875	18.04	97.23	NaN	17.93	NaN	28.8850	17.93	97.61	28.9275	17.93	95.35	28.7300	17.93	98.57	NaN	NaN	NaN	NaN	18.0400	18.04	OFF	17.9300	17.93	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
