"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,457.49,25.3,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
1,457.56,25.3,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
2,457.74,25.3,3.78,1.22,208,3.778,,,,,,,,,,,,,,,,,,
3,457.85,25.3,3.78,1.22,208,3.778,,,,,,,,,,,,,,,,,,
4,457.82,25.3,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
5,457.82,25.3,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
6,457.74,25.3,3.78,1.21,207,3.777,,,,,,,,,,,,,,,,,,
7,457.85,25.3,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
8,457.82,25.3,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
9,457.78,25.3,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
10,457.67,25.3,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
11,457.49,25.3,3.77,1.21,207,3.777,,,,,,,,,,,,,,,,,,
12,457.74,25.3,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
13,457.71,25.3,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
14,457.56,25.3,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
15,457.56,25.3,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
16,457.49,25.3,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
17,457.41,25.3,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
18,457.23,25.3,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
19,456.97,25.3,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
20,456.71,25.3,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
21,456.52,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
22,456.45,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
23,456.38,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
24,456.30,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
25,455.86,25.4,3.77,1.22,209,3.778,,,,,,,,,,,,,,,,,,
26,456.26,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
27,456.30,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
28,456.30,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
29,456.04,25.4,3.77,1.22,210,3.777,,,,,,,,,,,,,,,,,,
30,456.41,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
31,456.60,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
32,456.71,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
33,456.78,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
34,456.71,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
35,456.63,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
36,456.60,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
37,456.49,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
38,456.52,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
39,456.56,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
40,456.52,25.4,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
41,456.52,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
42,456.19,25.4,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
43,456.63,25.4,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
44,456.75,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
45,456.78,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
46,456.38,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
47,456.93,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
48,456.78,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
49,456.45,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
50,456.04,25.4,3.78,1.22,208,3.778,,,,,,,,,,,,,,,,,,
51,456.34,25.4,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
52,456.34,25.4,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
53,456.23,25.4,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
54,456.26,25.4,3.78,1.22,208,3.778,,,,,,,,,,,,,,,,,,
55,456.26,25.4,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
56,456.23,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
57,456.38,25.4,3.78,1.22,208,3.778,,,,,,,,,,,,,,,,,,
58,456.45,25.4,3.78,1.21,208,3.778,,,,,,,,,,,,,,,,,,
59,456.45,25.4,3.78,1.21,208,3.777,,,,,,,,,,,,,,,,,,
60,456.41,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
61,456.60,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
62,456.67,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
63,456.89,25.4,3.78,1.22,208,3.777,,,,,,,,,,,,,,,,,,
64,456.89,25.4,3.78,1.22,208,3.776,,,,,,,,,,,,,,,,,,
65,456.93,25.4,3.78,1.21,208,3.776,,,,,,,,,,,,,,,,,,
66,456.89,25.4,3.78,1.22,208,3.776,,,,,,,,,,,,,,,,,,
67,456.97,25.4,3.78,1.22,209,3.776,,,,,,,,,,,,,,,,,,
68,456.82,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
69,456.78,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
70,456.63,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
71,456.45,25.4,3.78,1.22,211,3.777,,,,,,,,,,,,,,,,,,
72,456.45,25.4,3.78,1.22,211,3.777,,,,,,,,,,,,,,,,,,
73,456.23,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
74,456.19,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
75,456.38,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
76,456.49,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
77,456.34,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
78,456.12,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
79,455.93,25.4,3.78,1.22,209,3.777,,,,,,,,,,,,,,,,,,
80,455.86,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
81,455.82,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
82,455.67,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
83,455.67,25.4,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
84,455.75,25.4,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
85,455.71,25.4,3.78,1.22,209,3.778,,,,,,,,,,,,,,,,,,
86,455.64,25.4,3.78,1.22,210,3.778,,,,,,,,,,,,,,,,,,
87,455.67,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
88,455.56,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
89,455.56,25.4,3.78,1.22,210,3.777,,,,,,,,,,,,,,,,,,
90,455.60,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
91,455.64,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
92,455.75,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
93,455.75,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
94,455.86,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
95,456.15,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
96,456.08,25.4,3.78,1.22,211,3.776,,,,,,,,,,,,,,,,,,
97,456.04,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
98,456.19,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
99,456.23,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
100,456.15,25.4,3.78,1.22,210,3.776,,,,,,,,,,,,,,,,,,
